order_id,customer_id,product_id,quantity,order_date,status,total_amount,name,email,city,state,signup_date,product_name,category,price,stock,order_year,order_month
31,903,53,1,2025-10-02,pending,272.44,David Buchanan,misty23@example.net,East Monica,Tennessee,2023-08-07,Stand-alone coherent parallelism,Clothing,272.44,398,2025,10
32,755,43,4,2026-03-20,pending,1992.28,Jeffrey Franco,donaldburgess@example.org,Nicoleborough,Delaware,2024-01-07,Distributed value-added workforce,Sports,498.07,270,2026,3
33,274,21,1,2025-12-02,refunded,492.69,Blake Orr,shawrachel@example.net,North Stacy,New Hampshire,2023-12-20,Decentralized bi-directional circuit,Books,492.69,437,2025,12
34,894,5,4,2026-02-18,pending,82.84,Steven Flores,brownrachel@example.net,Ramirezborough,Florida,2025-12-22,Robust full-range complexity,Electronics,20.71,111,2026,2
35,205,59,3,2026-05-18,cancelled,1227.33,Jay Bennett,eewing@example.net,Fergusonchester,Ohio,2023-07-24,Cloned global definition,Home & Kitchen,409.11,500,2026,5
36,841,30,2,2025-08-28,completed,238.28,Dennis Watts,knelson@example.org,Wilsonmouth,Georgia,2025-09-16,Versatile dynamic system engine,Electronics,119.14,16,2025,8
37,676,25,4,2026-02-13,cancelled,1348.24,John Murphy,tfowler@example.org,North Emily,Idaho,2023-07-19,Switchable global circuit,Clothing,337.06,359,2026,2
38,286,9,3,2025-10-09,cancelled,430.26,Jessica Bennett,stephen37@example.com,Silvatown,North Carolina,2026-06-13,Open-source multi-state leverage,Sports,143.42,445,2025,10
39,657,66,4,2025-08-22,cancelled,889.64,Curtis Kerr,petersonelizabeth@example.net,Greenemouth,Pennsylvania,2025-02-23,User-friendly zero tolerance toolset,Books,222.41,264,2025,8
40,962,4,1,2025-11-05,cancelled,48.94,Glenn Carroll,knightsteven@example.org,East Jessicaburgh,Massachusetts,2025-03-22,Profit-focused secondary budgetary management,Sports,48.94,216,2025,11
41,183,75,3,2025-08-14,completed,871.92,Christy Lee,burgesskaren@example.org,South Rose,Oklahoma,2024-05-31,Fully-configurable eco-centric website,Sports,290.64,124,2025,8
42,112,77,4,2025-08-09,cancelled,215.48,Joel Johnson,marie11@example.net,Fordside,West Virginia,2026-02-19,Streamlined dynamic emulation,Electronics,53.87,220,2025,8
43,747,41,4,2026-02-10,completed,1589.12,Jeffrey David,kevinhodge@example.com,Townsendland,South Dakota,2023-09-09,Integrated methodical structure,Clothing,397.28,216,2026,2
44,395,74,2,2025-10-10,cancelled,223.64,Richard Alvarez,nathandavis@example.org,Davismouth,Wisconsin,2025-04-29,Re-contextualized multi-state encryption,Home & Kitchen,111.82,67,2025,10
45,46,91,4,2025-12-19,completed,349.28,Joel Williams,dmurphy@example.com,Kathleenfurt,Louisiana,2025-09-15,Exclusive bandwidth-monitored moratorium,Electronics,87.32,1,2025,12
46,533,69,2,2025-12-03,cancelled,239.34,Maria Johnson,trevor19@example.net,Biancashire,Nevada,2026-01-20,Automated impactful product,Sports,119.67,112,2025,12
47,442,9,3,2026-01-16,cancelled,430.26,Olivia Bridges,carterdennis@example.net,Markchester,North Dakota,2024-01-29,Open-source multi-state leverage,Sports,143.42,445,2026,1
48,680,16,3,2025-11-12,cancelled,812.67,Melinda Hill,rittersean@example.com,New Mark,Oregon,2026-02-01,Centralized explicit workforce,Home & Kitchen,270.89,498,2025,11
49,683,53,3,2026-03-05,refunded,817.3199999999999,Mary Jones,reginajenkins@example.net,West Charlesville,North Carolina,2025-10-01,Stand-alone coherent parallelism,Clothing,272.44,398,2026,3
50,714,38,5,2025-09-04,pending,1016.4499999999999,Mary Gray,hestermorgan@example.org,South Monicafurt,Washington,2025-12-15,Re-contextualized high-level structure,Sports,203.29,112,2025,9
51,197,54,4,2025-09-17,pending,1838.92,Madison Singh,michael10@example.com,Wardview,Connecticut,2023-11-06,Profit-focused foreground model,Sports,459.73,306,2025,9
52,631,73,3,2026-05-20,refunded,370.68,Daniel Gallegos,imiller@example.net,Richardton,New York,2026-01-13,Configurable analyzing knowledge user,Sports,123.56,342,2026,5
53,562,1,3,2026-04-14,cancelled,55.050000000000004,Phillip White,burtonzachary@example.org,Lewismouth,Louisiana,2026-04-06,Persistent logistical encryption,Electronics,18.35,140,2026,4
54,216,56,5,2025-10-26,cancelled,2200.4,Jerry Brown,stephanie72@example.org,Maynardhaven,Tennessee,2024-12-07,Stand-alone composite moderator,Books,440.08,425,2025,10
55,477,57,4,2025-10-03,pending,497.12,Brian Thompson,donnawood@example.org,Kimberlybury,New York,2023-12-29,Polarized context-sensitive matrices,Books,124.28,123,2025,10
56,524,61,2,2026-03-05,completed,947.46,Theresa Reilly,adamrodgers@example.net,Deborahport,New Mexico,2026-02-19,Distributed even-keeled portal,Home & Kitchen,473.73,84,2026,3
57,291,66,5,2026-04-12,cancelled,1112.05,Catherine Frazier,destiny35@example.org,Robertmouth,Mississippi,2024-03-25,User-friendly zero tolerance toolset,Books,222.41,264,2026,4
58,96,97,2,2025-10-06,cancelled,750.98,Bobby Franklin,martinezclaudia@example.net,Oscarhaven,Maine,2024-10-23,Reverse-engineered scalable pricing structure,Electronics,375.49,29,2025,10
59,231,26,2,2025-10-03,completed,613.8,Gregory Lewis,samanthajensen@example.com,North Peggy,Florida,2025-09-15,Fully-configurable mission-critical database,Electronics,306.9,87,2025,10
60,48,32,4,2026-01-05,completed,1828.32,David Combs,johnwells@example.org,South Holly,Wyoming,2024-07-22,Team-oriented leadingedge groupware,Clothing,457.08,290,2026,1
61,467,54,5,2026-03-19,pending,2298.65,Steven Faulkner,warnerlori@example.com,Port Juliantown,Kansas,2024-09-29,Profit-focused foreground model,Sports,459.73,306,2026,3
62,736,90,4,2025-06-15,refunded,446.32,Becky Mullins,whitecarol@example.org,New Sethmouth,Delaware,2023-07-26,Organic attitude-oriented leverage,Home & Kitchen,111.58,205,2025,6
63,410,32,2,2026-05-23,completed,914.16,Anna May,crossbarbara@example.org,Port Matthewchester,Nebraska,2026-03-29,Team-oriented leadingedge groupware,Clothing,457.08,290,2026,5
64,915,97,1,2025-07-03,refunded,375.49,Jasmine Henderson,richardhawkins@example.net,Davidmouth,Pennsylvania,2025-04-11,Reverse-engineered scalable pricing structure,Electronics,375.49,29,2025,7
65,225,23,5,2025-11-09,refunded,1149.85,Melissa Horn,brobinson@example.org,Adamsport,Michigan,2025-02-02,Versatile bifurcated success,Books,229.97,427,2025,11
66,52,72,2,2026-02-04,completed,861.3,Joseph Santos,umarshall@example.net,Marcusbury,Colorado,2024-04-14,Public-key user-facing monitoring,Electronics,430.65,36,2026,2
67,468,18,4,2025-08-03,cancelled,1773.6,Lori Joseph,ijames@example.org,South Don,Oklahoma,2024-08-08,Balanced high-level initiative,Sports,443.4,185,2025,8
68,973,97,4,2025-11-27,refunded,1501.96,Aaron Hernandez,kevinmiller@example.org,South Christopher,Kansas,2023-11-29,Reverse-engineered scalable pricing structure,Electronics,375.49,29,2025,11
69,851,71,4,2025-09-21,pending,476.36,Roger Holt,yharris@example.org,Danaport,Washington,2023-06-17,Cloned encompassing neural-net,Electronics,119.09,463,2025,9
70,762,61,4,2026-04-08,cancelled,1894.92,Jordan Schneider,daniel54@example.com,Wrightton,Idaho,2023-07-28,Distributed even-keeled portal,Home & Kitchen,473.73,84,2026,4
71,770,32,3,2025-08-26,refunded,1371.24,Timothy Hunt,kevin34@example.net,Andreaburgh,Iowa,2023-08-02,Team-oriented leadingedge groupware,Clothing,457.08,290,2025,8
72,642,31,3,2026-02-10,refunded,612.51,Jamie Burke,xthompson@example.net,North Stevenborough,New Hampshire,2023-06-24,Fundamental global frame,Books,204.17,33,2026,2
73,80,92,3,2025-09-14,pending,411.0,Julia Estrada,rsantana@example.net,North Scott,Minnesota,2026-05-31,Reverse-engineered didactic policy,Home & Kitchen,137.0,401,2025,9
74,279,43,3,2026-04-13,completed,1494.21,Shawn Vaughn,reesesamantha@example.com,West Lisaport,Maryland,2024-04-16,Distributed value-added workforce,Sports,498.07,270,2026,4
75,142,20,2,2025-06-21,refunded,665.3,Elizabeth Martin,michaeleverett@example.com,West Jamesside,Louisiana,2023-10-29,Streamlined leadingedge interface,Electronics,332.65,395,2025,6
76,711,20,2,2025-11-16,completed,665.3,Deanna Barrera,nalexander@example.org,North Kelly,Missouri,2023-10-28,Streamlined leadingedge interface,Electronics,332.65,395,2025,11
77,425,53,3,2025-10-30,refunded,817.3199999999999,Melinda Harris,kylethornton@example.net,South Wendy,Wyoming,2023-11-20,Stand-alone coherent parallelism,Clothing,272.44,398,2025,10
78,426,8,2,2026-01-03,refunded,426.46,Sylvia Stewart,whitemary@example.org,Port Lucaschester,Nebraska,2024-05-11,Automated systemic service-desk,Sports,213.23,229,2026,1
79,399,99,5,2026-03-10,completed,418.8,Morgan Andrade,kimberly35@example.net,Lake Tammyfurt,Illinois,2025-01-08,Function-based web-enabled installation,Sports,83.76,491,2026,3
80,878,98,5,2026-03-31,refunded,1472.85,Caitlin Davis,portererin@example.com,Port Lindsey,Washington,2025-11-01,Versatile logistical ability,Electronics,294.57,257,2026,3
81,489,1,3,2026-01-25,cancelled,55.050000000000004,Andrew Myers,isabelconway@example.net,New Jasminefort,New Mexico,2024-10-03,Persistent logistical encryption,Electronics,18.35,140,2026,1
82,772,50,4,2025-11-21,pending,1027.12,Larry Wood,pottsnicole@example.com,South Rachel,Maine,2024-06-03,Up-sized multimedia synergy,Clothing,256.78,54,2025,11
83,500,29,3,2025-09-21,refunded,343.44,Patricia Schwartz,douglasnelson@example.com,Allenburgh,South Carolina,2025-07-11,Persevering tertiary matrix,Sports,114.48,166,2025,9
84,498,4,4,2025-07-10,cancelled,195.76,Gabriela Martinez,katherinejackson@example.com,South John,Pennsylvania,2023-07-28,Profit-focused secondary budgetary management,Sports,48.94,216,2025,7
85,685,87,4,2025-08-10,pending,1675.96,Brian Stark,ellen77@example.com,North Amybury,Virginia,2026-04-20,Public-key zero tolerance application,Sports,418.99,496,2025,8
86,861,60,2,2026-03-04,completed,768.62,Roger Martinez,btorres@example.com,North Johnstad,Maine,2025-10-21,Integrated demand-driven definition,Sports,384.31,65,2026,3
87,929,51,5,2026-05-23,completed,2108.85,Jeremy Wright,dwilson@example.com,West Heidiberg,Wyoming,2026-02-04,Programmable impactful matrices,Books,421.77,259,2026,5
88,86,83,4,2026-01-16,pending,300.96,Regina Diaz,ismith@example.org,Richardsonview,Pennsylvania,2024-08-04,Programmable exuding approach,Home & Kitchen,75.24,93,2026,1
89,888,60,2,2026-05-27,completed,768.62,Stacy Mendoza,josephwilliams@example.org,Romerostad,Nevada,2024-11-18,Integrated demand-driven definition,Sports,384.31,65,2026,5
90,267,49,3,2026-05-25,pending,1458.3000000000002,Ronald Kramer,franciscojones@example.org,Andrewview,Connecticut,2023-09-03,Advanced empowering hierarchy,Books,486.1,390,2026,5
91,466,42,3,2026-03-25,refunded,112.10999999999999,Elizabeth Harding,wrobbins@example.org,New Valeriefurt,Florida,2026-01-03,Organic systematic frame,Sports,37.37,195,2026,3
92,285,97,4,2025-11-02,cancelled,1501.96,Jason Smith,wellsdavid@example.org,East Johnnyport,Virginia,2026-05-08,Reverse-engineered scalable pricing structure,Electronics,375.49,29,2025,11
93,855,11,4,2026-05-30,completed,696.28,John Bell,elizabeth45@example.com,Port Michaelmouth,North Dakota,2025-10-09,Operative empowering structure,Home & Kitchen,174.07,79,2026,5
94,768,70,1,2026-02-26,cancelled,41.06,Walter Roberts,bauerheather@example.net,Simpsonside,North Carolina,2026-05-13,Cross-platform full-range middleware,Electronics,41.06,323,2026,2
95,230,84,1,2025-09-12,completed,234.53,Erik Ibarra,patrickli@example.org,North Alyssa,Alabama,2025-04-12,Expanded discrete encryption,Books,234.53,447,2025,9
96,773,4,2,2026-06-09,pending,97.88,Robert Holloway,jessicaramirez@example.com,New Dianeshire,Connecticut,2025-08-13,Profit-focused secondary budgetary management,Sports,48.94,216,2026,6
97,860,3,5,2026-01-13,pending,1701.3999999999999,Michael Mills,cindy24@example.com,Calvinport,Alabama,2024-10-23,Front-line context-sensitive Local Area Network,Electronics,340.28,456,2026,1
98,245,17,4,2025-07-04,completed,179.68,Danielle Smith,ijohnson@example.com,West Aaronfurt,West Virginia,2025-08-19,Object-based uniform throughput,Home & Kitchen,44.92,150,2025,7
99,578,28,4,2025-07-03,cancelled,773.76,Susan Mccann,josechristian@example.org,Williamsonview,Georgia,2023-09-19,Stand-alone system-worthy archive,Home & Kitchen,193.44,473,2025,7
100,786,48,2,2025-10-16,completed,460.26,Mallory Taylor,patrickdunn@example.net,Patelbury,Missouri,2023-09-13,Innovative client-server paradigm,Clothing,230.13,488,2025,10
101,797,21,3,2025-12-26,completed,1478.07,Tony Smith,karen68@example.org,Karenstad,Florida,2025-07-23,Decentralized bi-directional circuit,Books,492.69,437,2025,12
102,593,4,3,2025-11-20,refunded,146.82,James Powell,davidhenry@example.com,Rebeccaberg,Minnesota,2025-06-12,Profit-focused secondary budgetary management,Sports,48.94,216,2025,11
103,407,92,2,2025-09-25,completed,274.0,Andrew Mitchell,holmesvictoria@example.com,West Traceyborough,Massachusetts,2023-07-07,Reverse-engineered didactic policy,Home & Kitchen,137.0,401,2025,9
104,607,89,2,2025-12-02,completed,176.3,Sandra Nunez,laura29@example.org,Hannahland,Texas,2024-11-24,Exclusive mission-critical budgetary management,Clothing,88.15,248,2025,12
105,714,99,3,2026-05-01,completed,251.28000000000003,Mary Gray,hestermorgan@example.org,South Monicafurt,Washington,2025-12-15,Function-based web-enabled installation,Sports,83.76,491,2026,5
106,816,73,1,2025-07-10,cancelled,123.56,Jake Tran,amyjames@example.net,Waltersville,Colorado,2025-11-13,Configurable analyzing knowledge user,Sports,123.56,342,2025,7
107,546,55,3,2026-06-05,completed,742.08,William Wallace,broberts@example.org,Port Leahstad,Idaho,2023-06-28,Multi-layered homogeneous matrix,Books,247.36,57,2026,6
108,519,83,3,2026-03-08,completed,225.71999999999997,Oscar Smith,bryanwiggins@example.org,Robertmouth,Tennessee,2025-05-22,Programmable exuding approach,Home & Kitchen,75.24,93,2026,3
109,870,54,4,2026-04-10,completed,1838.92,Eric Hays,shaffercindy@example.org,North Aaronville,North Dakota,2023-09-28,Profit-focused foreground model,Sports,459.73,306,2026,4
110,444,47,4,2026-04-28,pending,244.4,Heather Anderson DDS,lvasquez@example.net,Lake Kelly,Illinois,2023-06-15,Assimilated didactic paradigm,Books,61.1,222,2026,4
111,446,23,5,2026-01-14,cancelled,1149.85,Dawn Jones,william50@example.org,Matthewshire,South Carolina,2026-05-01,Versatile bifurcated success,Books,229.97,427,2026,1
112,631,69,4,2026-01-09,refunded,478.68,Daniel Gallegos,imiller@example.net,Richardton,New York,2026-01-13,Automated impactful product,Sports,119.67,112,2026,1
113,447,94,5,2026-01-04,cancelled,1664.75,Cheyenne Bass,zhendricks@example.org,South Eric,New Jersey,2026-02-15,Advanced optimal Internet solution,Sports,332.95,249,2026,1
114,331,32,1,2025-11-20,cancelled,457.08,Carol Huber,simsjason@example.net,Port Gina,Connecticut,2024-01-25,Team-oriented leadingedge groupware,Clothing,457.08,290,2025,11
115,903,58,2,2025-10-10,refunded,947.56,David Buchanan,misty23@example.net,East Monica,Tennessee,2023-08-07,Multi-tiered 24/7 secured line,Sports,473.78,43,2025,10
116,584,79,4,2025-12-30,cancelled,1354.52,Lauren Green,dconrad@example.org,West Jenniferchester,Georgia,2024-03-25,Enhanced 6thgeneration portal,Electronics,338.63,330,2025,12
117,30,64,3,2026-02-09,pending,1137.27,Debra Cobb,reyesbenjamin@example.com,East Lisa,New Jersey,2024-07-01,Multi-channeled modular knowledgebase,Sports,379.09,353,2026,2
118,500,28,3,2026-01-02,cancelled,580.3199999999999,Patricia Schwartz,douglasnelson@example.com,Allenburgh,South Carolina,2025-07-11,Stand-alone system-worthy archive,Home & Kitchen,193.44,473,2026,1
119,349,36,5,2026-04-08,cancelled,1870.05,Haley Sparks,shawdon@example.org,North Xavier,Louisiana,2024-01-31,Digitized multi-state forecast,Clothing,374.01,275,2026,4
120,570,2,5,2026-02-20,pending,581.3000000000001,Travis Stewart,pwells@example.com,West Thomas,Mississippi,2025-11-30,Synergized real-time intranet,Clothing,116.26,377,2026,2
121,88,31,4,2025-08-03,refunded,816.68,Jason Taylor,torrestravis@example.org,New Derek,New Jersey,2024-07-24,Fundamental global frame,Books,204.17,33,2025,8
122,569,98,2,2026-03-21,refunded,589.14,Natasha Walls,drewthompson@example.com,Ortizshire,Arkansas,2024-12-02,Versatile logistical ability,Electronics,294.57,257,2026,3
123,662,92,4,2026-04-27,refunded,548.0,Gina Clark,zallen@example.com,New Tiffany,South Carolina,2026-02-04,Reverse-engineered didactic policy,Home & Kitchen,137.0,401,2026,4
124,812,3,1,2026-02-23,cancelled,340.28,Laura Thomas,alexis72@example.com,Danielchester,Kentucky,2025-01-04,Front-line context-sensitive Local Area Network,Electronics,340.28,456,2026,2
125,227,52,2,2026-03-10,cancelled,208.5,Jessica Forbes DVM,erik41@example.net,Johnstad,Texas,2026-02-28,Secured composite hardware,Sports,104.25,191,2026,3
126,680,75,3,2026-05-29,refunded,871.92,Melinda Hill,rittersean@example.com,New Mark,Oregon,2026-02-01,Fully-configurable eco-centric website,Sports,290.64,124,2026,5
127,567,68,3,2025-10-23,refunded,519.0,Kyle Camacho,qmosley@example.net,South Sherryberg,Kansas,2023-10-14,Exclusive high-level secured line,Electronics,173.0,301,2025,10
128,764,71,3,2026-03-22,cancelled,357.27,Michael Vega,markfigueroa@example.com,Johnview,Indiana,2025-03-15,Cloned encompassing neural-net,Electronics,119.09,463,2026,3
129,720,59,3,2026-03-13,cancelled,1227.33,Mary Lynn,wadesandra@example.net,Davismouth,Iowa,2026-03-31,Cloned global definition,Home & Kitchen,409.11,500,2026,3
130,258,30,1,2025-08-30,pending,119.14,Matthew Adams,gallagherstacie@example.net,Kellyburgh,Idaho,2024-02-28,Versatile dynamic system engine,Electronics,119.14,16,2025,8
131,324,16,5,2025-10-08,pending,1354.4499999999998,Vanessa Edwards,smithjohn@example.net,Greerstad,Wisconsin,2025-03-19,Centralized explicit workforce,Home & Kitchen,270.89,498,2025,10
132,197,28,4,2025-09-04,cancelled,773.76,Madison Singh,michael10@example.com,Wardview,Connecticut,2023-11-06,Stand-alone system-worthy archive,Home & Kitchen,193.44,473,2025,9
133,742,76,5,2025-10-23,cancelled,2024.4499999999998,Alexander Munoz,nelsonamanda@example.net,Jonesland,Mississippi,2026-03-06,User-centric contextually-based solution,Home & Kitchen,404.89,97,2025,10
134,103,25,3,2025-08-24,pending,1011.1800000000001,Jacob Griffith,wareeric@example.net,Lake Christophermouth,Texas,2024-09-20,Switchable global circuit,Clothing,337.06,359,2025,8
135,370,23,3,2026-06-03,completed,689.91,David Montgomery,kimberlywilson@example.org,Austinside,Arizona,2025-12-29,Versatile bifurcated success,Books,229.97,427,2026,6
136,726,69,2,2025-09-15,cancelled,239.34,Eddie Levy,zavalamason@example.net,Port Jessica,Iowa,2025-07-20,Automated impactful product,Sports,119.67,112,2025,9
137,47,7,5,2026-01-19,cancelled,521.1,Darlene Miller,currybrett@example.com,Lake Casey,Tennessee,2023-07-28,Cloned 24hour synergy,Sports,104.22,332,2026,1
138,715,17,4,2026-05-20,completed,179.68,Allison Martinez,stephanie35@example.com,Robertsonborough,Alabama,2026-05-29,Object-based uniform throughput,Home & Kitchen,44.92,150,2026,5
139,894,2,5,2025-08-03,cancelled,581.3000000000001,Steven Flores,brownrachel@example.net,Ramirezborough,Florida,2025-12-22,Synergized real-time intranet,Clothing,116.26,377,2025,8
140,481,62,4,2026-02-03,cancelled,1066.64,Melanie Williams,stephanie69@example.net,Matthewview,Connecticut,2024-03-19,Vision-oriented upward-trending utilization,Books,266.66,310,2026,2
141,189,7,3,2025-11-16,refunded,312.65999999999997,Nathan Nichols,andre62@example.org,New Eduardoborough,South Carolina,2025-01-10,Cloned 24hour synergy,Sports,104.22,332,2025,11
142,117,9,4,2026-04-04,refunded,573.68,Nancy Jennings,lucasrodney@example.com,West Kyleborough,Michigan,2026-04-17,Open-source multi-state leverage,Sports,143.42,445,2026,4
143,76,74,1,2026-04-01,pending,111.82,Charles Pitts,charlesharrington@example.com,Cindyfurt,Tennessee,2023-09-10,Re-contextualized multi-state encryption,Home & Kitchen,111.82,67,2026,4
144,153,73,3,2026-04-13,completed,370.68,Kim Erickson,thomas05@example.com,South Brandytown,Rhode Island,2024-11-15,Configurable analyzing knowledge user,Sports,123.56,342,2026,4
145,255,16,5,2025-07-05,refunded,1354.4499999999998,Manuel Sanchez,victor87@example.org,West Patrickchester,Illinois,2025-05-18,Centralized explicit workforce,Home & Kitchen,270.89,498,2025,7
146,621,77,5,2026-06-10,pending,269.34999999999997,Stephanie Burton,michaelmitchell@example.net,Lake Nicholas,West Virginia,2024-03-11,Streamlined dynamic emulation,Electronics,53.87,220,2026,6
147,795,67,4,2025-10-27,refunded,263.08,Chloe Rodriguez,coxkimberly@example.com,East Julianside,Connecticut,2023-08-24,Progressive discrete support,Home & Kitchen,65.77,115,2025,10
148,931,57,3,2026-01-06,refunded,372.84000000000003,Robert Coleman,rita47@example.net,West Daisy,Arizona,2024-05-17,Polarized context-sensitive matrices,Books,124.28,123,2026,1
149,313,73,5,2026-06-12,completed,617.8,Glen Bryan,meganrivera@example.net,Moranstad,Virginia,2024-10-21,Configurable analyzing knowledge user,Sports,123.56,342,2026,6
150,625,95,1,2026-05-30,pending,99.8,Jaclyn Crane,xrodriguez@example.net,Billyberg,Delaware,2024-07-25,Customizable uniform intranet,Clothing,99.8,111,2026,5
151,641,28,3,2026-04-28,completed,580.3199999999999,Megan Gutierrez,ifarmer@example.org,New Anthonymouth,Utah,2023-10-27,Stand-alone system-worthy archive,Home & Kitchen,193.44,473,2026,4
152,161,31,2,2025-10-10,completed,408.34,Ashlee Townsend,oconnelltiffany@example.org,Delgadofort,New Mexico,2025-05-26,Fundamental global frame,Books,204.17,33,2025,10
153,161,1,4,2025-12-27,refunded,73.4,Ashlee Townsend,oconnelltiffany@example.org,Delgadofort,New Mexico,2025-05-26,Persistent logistical encryption,Electronics,18.35,140,2025,12
